NelsonMountainTuff,RatCreekTuff,CebollaCreekTuff,SnowshoeMountainTuff,support,precision,recall,local_f1,micro f1,macro f1,weighted f1,iteration,drop
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,no_drop
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,no_drop
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,no_drop
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,plag
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,plag
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,plag
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,plag
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,san
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,san
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,san
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,san
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,biot
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,biot
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,biot
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,biot
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,cpx
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,cpx
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,cpx
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,cpx
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,glass_maj
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,glass_maj
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,glass_maj
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,glass_maj
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,glass_tr
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,glass_tr
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,glass_tr
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,glass_tr
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,horn
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,horn
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,horn
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,horn
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,zinc
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,zinc
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,2,zinc
0,0,0,100,100,1.0,1.0,1.0,1.0,1.0,1.0,2,zinc
100,0,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,3,no_drop
0,100,0,0,100,1.0,1.0,1.0,1.0,1.0,1.0,3,no_drop
0,0,100,0,100,1.0,1.0,1.0,1.0,1.0,1.0,3,no_drop
