NelsonMountainTuff,RatCreekTuff,CebollaCreekTuff,SnowshoeMountainTuff,support,precision,recall,local_f1,micro f1,macro f1,weighted f1,iteration,drop
0,2,97,1,100,0.941747572815534,0.97,0.9556650246305418,0.9375,0.9374047886264604,0.9374047886264604,1,horn
4,0,1,95,100,0.9134615384615384,0.95,0.9313725490196078,0.9375,0.9374047886264604,0.9374047886264604,1,horn
83,9,0,8,100,1.0,0.83,0.907103825136612,0.8925,0.8936864914012098,0.8936864914012098,2,no_drop
0,100,0,0,100,0.7692307692307693,1.0,0.8695652173913044,0.8925,0.8936864914012098,0.8936864914012098,2,no_drop
0,10,90,0,100,0.9473684210526316,0.9,0.9230769230769232,0.8925,0.8936864914012098,0.8936864914012098,2,no_drop
0,11,5,84,100,0.9130434782608696,0.84,0.8749999999999999,0.8925,0.8936864914012098,0.8936864914012098,2,no_drop
88,4,1,7,100,0.9777777777777776,0.88,0.9263157894736842,0.93,0.9300928468352908,0.9300928468352908,2,plag
1,95,4,0,100,0.8796296296296297,0.95,0.9134615384615384,0.93,0.9300928468352908,0.9300928468352908,2,plag
0,6,94,0,100,0.94,0.94,0.94,0.93,0.9300928468352908,0.9300928468352908,2,plag
1,3,1,95,100,0.931372549019608,0.95,0.9405940594059404,0.93,0.9300928468352908,0.9300928468352908,2,plag
62,14,3,21,100,0.8732394366197183,0.62,0.7251461988304093,0.7825000000000001,0.7803896811249753,0.7803896811249754,2,san
5,79,14,2,100,0.6810344827586207,0.79,0.7314814814814816,0.7825000000000001,0.7803896811249753,0.7803896811249754,2,san
0,9,91,0,100,0.8348623853211009,0.91,0.8708133971291867,0.7825000000000001,0.7803896811249753,0.7803896811249754,2,san
4,14,1,81,100,0.7788461538461539,0.81,0.7941176470588236,0.7825000000000001,0.7803896811249753,0.7803896811249754,2,san
88,4,1,7,100,0.9777777777777776,0.88,0.9263157894736842,0.93,0.9300928468352908,0.9300928468352908,2,biot
1,95,4,0,100,0.8796296296296297,0.95,0.9134615384615384,0.93,0.9300928468352908,0.9300928468352908,2,biot
0,6,94,0,100,0.94,0.94,0.94,0.93,0.9300928468352908,0.9300928468352908,2,biot
1,3,1,95,100,0.931372549019608,0.95,0.9405940594059404,0.93,0.9300928468352908,0.9300928468352908,2,biot
88,4,1,7,100,0.9777777777777776,0.88,0.9263157894736842,0.93,0.9300928468352908,0.9300928468352908,2,cpx
1,95,4,0,100,0.8796296296296297,0.95,0.9134615384615384,0.93,0.9300928468352908,0.9300928468352908,2,cpx
0,6,94,0,100,0.94,0.94,0.94,0.93,0.9300928468352908,0.9300928468352908,2,cpx
1,3,1,95,100,0.931372549019608,0.95,0.9405940594059404,0.93,0.9300928468352908,0.9300928468352908,2,cpx
88,4,1,7,100,0.9777777777777776,0.88,0.9263157894736842,0.93,0.9300928468352908,0.9300928468352908,2,glass_maj
1,95,4,0,100,0.8796296296296297,0.95,0.9134615384615384,0.93,0.9300928468352908,0.9300928468352908,2,glass_maj
0,6,94,0,100,0.94,0.94,0.94,0.93,0.9300928468352908,0.9300928468352908,2,glass_maj
1,3,1,95,100,0.931372549019608,0.95,0.9405940594059404,0.93,0.9300928468352908,0.9300928468352908,2,glass_maj
82,11,4,3,100,0.8541666666666666,0.82,0.836734693877551,0.81,0.813139633581528,0.8131396335815279,2,glass_tr
9,78,13,0,100,0.6724137931034483,0.78,0.7222222222222223,0.81,0.813139633581528,0.8131396335815279,2,glass_tr
0,17,82,1,100,0.803921568627451,0.82,0.8118811881188118,0.81,0.813139633581528,0.8131396335815279,2,glass_tr
5,10,3,82,100,0.9534883720930232,0.82,0.8817204301075269,0.81,0.813139633581528,0.8131396335815279,2,glass_tr
88,4,1,7,100,0.9777777777777776,0.88,0.9263157894736842,0.93,0.9300928468352908,0.9300928468352908,2,horn
1,95,4,0,100,0.8796296296296297,0.95,0.9134615384615384,0.93,0.9300928468352908,0.9300928468352908,2,horn
0,6,94,0,100,0.94,0.94,0.94,0.93,0.9300928468352908,0.9300928468352908,2,horn
1,3,1,95,100,0.931372549019608,0.95,0.9405940594059404,0.93,0.9300928468352908,0.9300928468352908,2,horn
93,0,4,3,100,0.9893617021276596,0.93,0.9587628865979382,0.93,0.9314836430294864,0.9314836430294864,3,no_drop
0,88,12,0,100,1.0,0.88,0.9361702127659576,0.93,0.9314836430294864,0.9314836430294864,3,no_drop
0,0,100,0,100,0.8064516129032258,1.0,0.8928571428571428,0.93,0.9314836430294864,0.9314836430294864,3,no_drop
1,0,8,91,100,0.9680851063829788,0.91,0.9381443298969072,0.93,0.9314836430294864,0.9314836430294864,3,no_drop
92,0,1,7,100,1.0,0.92,0.9583333333333334,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,plag
0,91,9,0,100,1.0,0.91,0.9528795811518324,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,plag
0,0,100,0,100,0.8695652173913043,1.0,0.9302325581395348,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,plag
0,0,5,95,100,0.931372549019608,0.95,0.9405940594059404,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,plag
67,0,14,19,100,0.943661971830986,0.67,0.7836257309941521,0.7825000000000001,0.7849954590742216,0.7849954590742216,3,san
2,74,24,0,100,0.9487179487179488,0.74,0.8314606741573033,0.7825000000000001,0.7849954590742216,0.7849954590742216,3,san
0,1,99,0,100,0.6226415094339622,0.99,0.7644787644787645,0.7825000000000001,0.7849954590742216,0.7849954590742216,3,san
2,3,22,73,100,0.7934782608695652,0.73,0.7604166666666666,0.7825000000000001,0.7849954590742216,0.7849954590742216,3,san
92,0,1,7,100,1.0,0.92,0.9583333333333334,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,biot
0,91,9,0,100,1.0,0.91,0.9528795811518324,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,biot
0,0,100,0,100,0.8695652173913043,1.0,0.9302325581395348,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,biot
0,0,5,95,100,0.931372549019608,0.95,0.9405940594059404,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,biot
92,0,1,7,100,1.0,0.92,0.9583333333333334,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,cpx
0,91,9,0,100,1.0,0.91,0.9528795811518324,0.9449999999999998,0.9455098830076604,0.9455098830076604,3,cpx
